id,team_id,team_active,type,pipeline_source,consequence_type,status,push_eligible,created_utc,created_sthlm,published_utc,pushed_utc,pushed_sthlm,push_latency_min,pushed_hour_sthlm,kickoff_utc,match_id,preview_fixture_id,headline,push_title,push_text,immersive_headline,immersive_context,immersive_context_fallback,talking_points,emotional_context,everyone_talking,everyone_talking_headline,worth_knowing,affected_team_ids,body_len,body
37aa25a8-7b6a-4ef6-8c51-e139ce0448de,chelsea,t,news,routine,,archived,t,2026-08-01 06:48:28.618633+00,2026-08-01 08:48:28.618633,2026-08-01 06:48:27+00,2026-08-01 06:48:31.68+00,2026-08-01 08:48:31.68,0.05102278333333333333,08,2026-08-01 09:45:00+00,,,Cole Palmer (Chelsea midfielder) had a quiet summer while England played at the tournament. He faces Spurs in a pre-season friendly this morning at 09:45.,London derby before breakfast,Chelsea vs Spurs at 09:45. Palmer's back with something to prove this season.,"palmer missed england.
chelsea vs spurs.",Like getting left off the guest list and going viral at the door. Palmer's that moment.,Cole Palmer had a quiet summer while England played at the tournament. Today Chelsea face Spurs in a pre-season friendly at 09:45.,"[""Tell him Chelsea play Spurs this morning at 09:45. He might not have clocked how early it is."", ""He's been keeping tabs on Palmer all pre-season. Watch how he reacts when his name comes up."", ""Ask him: was leaving Palmer out of England's squad the right call?""]",exciting,t,Cole Palmer (Chelsea midfielder) had a quiet summer while England played. His first pre-season test is today against Spurs.,f,"{chelsea,spurs}",329,"Cole Palmer (Chelsea's creative midfielder) wasn't in England's World Championship squad this summer, which caught a lot of people off guard. He's back in pre-season now, and Chelsea face Spurs this morning at 09:45. It's a friendly, but Palmer's the sort of player who uses moments like this to remind everyone what they missed."
9a7c0b9f-c0a2-412e-8307-0bcf74a03435,spurs,t,news,routine,,archived,t,2026-08-01 06:49:13.15158+00,2026-08-01 08:49:13.15158,2026-08-01 06:49:12+00,2026-08-01 06:49:16.192+00,2026-08-01 08:49:16.192,0.05067366666666666667,08,2026-08-01 09:45:00+00,,,Spurs have spent £237m this summer and manager De Zerbi says he's not done. First test: Chelsea this morning at 09:45.,He'll have skipped breakfast,Spurs vs Chelsea at 09:45. De Zerbi's £237m team gets their first London test.,"spurs vs chelsea.
this morning.
£237m summer.",Like dropping your whole bonus on a Sephora haul and saying 'I'm not done yet.' De Zerbi.,Spurs have spent £237m this summer and manager De Zerbi says there's more coming. They face Chelsea in a pre-season friendly at 09:45 this morning.,"[""Tell him Spurs have spent £237m this summer and De Zerbi's saying they're not done. Watch the eyebrows rise."", ""He's been tracking every Spurs signing all summer. He'll have a running tally ready."", ""Ask him: is De Zerbi's project the most exciting thing in the Premier League right now?""]",exciting,t,Tottenham have spent £237m this summer. Manager Roberto De Zerbi says there's no sign of slowing down.,f,"{spurs,chelsea}",322,"Spurs have had quite a summer. Manager Roberto De Zerbi (Spurs head coach) brought in record signing Sandro Tonali and several others, hitting a total of £237m in spending. This morning they face Chelsea at 09:45 in their biggest pre-season test yet. De Zerbi told the Independent there's no sign of the spending stopping."
43c78f58-7c19-4734-8d46-e130fbe00c2e,man_city,t,news,routine,,archived,t,2026-08-01 06:52:32.252276+00,2026-08-01 08:52:32.252276,2026-08-01 06:52:31+00,2026-08-01 06:52:36.584+00,2026-08-01 08:52:36.584,0.07219540000000000000,08,2026-08-01 11:30:00+00,,,Man City face Inter at 11:30 this morning. John Stones (now at Inter after leaving City this summer) is on the other side. Phil Foden is fired up.,The ex returns,Man City vs Inter at 11:30 today. John Stones faces his old club for the first time.,"man city vs inter.
the ex returns.","Like your ex showing up at the same house party, three months in. Stones is back.","Man City face Inter this morning at 11:30. John Stones, their defender for years, is now at Inter and could line up against his former club.","[""Tell him John Stones faces Man City as an Inter player today. He'll have strong feelings about it."", ""He's been tracking the City situation all summer. Watch how he reacts when Stones comes on."", ""Ask him: was it the right move for Stones to leave City for Inter?""]",drama,f,,f,{man_city},348,"Phil Foden (Man City midfielder) told the BBC he's aiming to 'repay the faith' of the club and is looking for a 'fresh start' this season. He gets his first test today when Man City face Inter at 11:30. The twist: John Stones (England defender, now at Inter after leaving City this summer) could be on the pitch trying to stop his former teammates."
b2a92fc1-23ca-4a2e-ae47-843439c70d8e,arsenal,t,news,routine,,archived,t,2026-08-01 22:48:17.243739+00,2026-08-02 00:48:17.243739,2026-08-01 22:48:16+00,2026-08-01 22:48:20.561+00,2026-08-02 00:48:20.561,0.05528768333333333333,00,,,,"Arsenal beat Girona 4-1 in their pre-season opener. Max Dowman (Arsenal youngster) scored and set up another. Defending champions, looking sharp.",He'll be pleased.,"Arsenal beat Girona 4-1 in pre-season. Defending champions, looking the part.","arsenal 4-1.
defending champs,
back.","Imagine your friend who spent the whole summer doing Pilates and skin cycling. First post-holiday brunch, she showed up untouchable. Arsenal's not messing around.",Arsenal are the defending Premier League champions. Their first pre-season game just sent a message: a 4-1 win over Spanish side Girona. Max Dowman starred.,"[""Tell him Arsenal beat Girona 4-1 in pre-season. He'll give you the full match breakdown."", ""Ask him if he watched it. Arsenal's website apparently crashed during the stream."", ""He's got Real Betis to look forward to next. He'll already have it blocked out.""]",exciting,f,,f,{arsenal},377,"Arsenal's pre-season started exactly how you'd want it to. A 4-1 win over Girona in Spain, with Max Dowman, one of the younger players getting his chance in the squad, scoring and setting up another. Gabriel Jesus (Arsenal striker) added to the tally too. After a summer where half the squad were at the World Championship, this was the kind of sharp start to get fans excited."
15e5ddf1-09d6-45bf-a6dd-6db64a3171a6,bournemouth,t,news,routine,,archived,t,2026-08-01 22:48:39.717283+00,2026-08-02 00:48:39.717283,2026-08-01 22:48:38+00,2026-08-01 22:48:41.741+00,2026-08-02 00:48:41.741,0.03372861666666666667,00,,,,Bournemouth complete the signing of Portuguese centre-back Antonio Silva from Benfica for up to £25.7m. He says he's excited to get started.,New signing in.,Bournemouth signed defender Antonio Silva from Benfica for up to £25.7m. Done deal.,"silva signed.
bournemouth's new
defender.","Like when your group chat's been circling the same hotel for your girls' trip for weeks, then someone just books it. Bournemouth got it done.",Bournemouth have been working on this one for a while. Centre-back Antonio Silva has now officially signed from Benfica. The fee is up to £25.7m. Defence reinforced.,"[""Tell him Bournemouth have officially signed Antonio Silva from Benfica. He'll want to know if it was good value."", ""Did you know Silva is Portuguese? Tell him and see if he knows anything about him from the World Championship."", ""He'll be figuring out what the lineup looks like now. Ask him: is the defence sorted?""]",exciting,f,,f,{bournemouth},316,"Bournemouth have signed their new defender. Antonio Silva, a Portuguese centre-back from Benfica, has put pen to paper on the deal worth up to £25.7m. He said he is 'excited' to join. The earlier deal between clubs is now fully confirmed with personal terms agreed. Solid bit of business for Bournemouth at the back."
b4d11e46-19be-418d-81bc-05723c2d7d77,brentford,t,news,routine,,archived,t,2026-08-01 22:49:08.501398+00,2026-08-02 00:49:08.501398,2026-08-01 22:49:07+00,2026-08-01 22:49:11.293+00,2026-08-02 00:49:11.293,0.04652670000000000000,00,,,,Brentford have signed Mali midfielder Mamadou Sangare from Lens for a reported club record £39m. Biggest signing in the club's history.,Club record.,"Brentford signed Mali midfielder Mamadou Sangare from Lens. Reportedly £39m, club record.","brentford's biggest.
sangare signed.
£39m.",Brentford usually shop in the sales. Dropping £39m is their equivalent of your friend who only wears Zara suddenly buying Bottega.,Brentford are not a club that usually spends big. So signing Mali midfielder Mamadou Sangare from Lens for a reported £39m is a statement. Club record. New chapter.,"[""Tell him Brentford just broke their transfer record with a £39m midfielder from France. He'll have something to say about whether they needed it."", ""Did you know Brentford rarely spend this much? This is their biggest ever signing."", ""Ask him: is this Brentford changing their whole approach, or just one big swing?""]",exciting,t,"Brentford sign Mali midfielder Mamadou Sangare from Lens for a reported £39m, a club record fee.",f,{brentford},269,"Brentford have broken their transfer record. Mamadou Sangare, a midfielder from Mali, has signed from French club Lens for a reported £39m. Brentford don't usually operate at this level of spend, so this signals real ambition. He comes with a strong Ligue 1 reputation."
8fe2704a-d1f5-4a08-8b46-b0cd2d181288,brighton,t,news,routine,,archived,t,2026-08-01 22:50:14.754412+00,2026-08-02 00:50:14.754412,2026-08-01 22:50:13+00,2026-08-01 22:50:17.835+00,2026-08-02 00:50:17.835,0.05134313333333333333,00,,,,"Brighton sold striker Danny Welbeck to Chelsea for a reported £5m. He scored 13 Premier League goals last season, including three against Chelsea.",Bit of a loss.,Brighton sold Welbeck to Chelsea for a reported £5m. He scored 13 goals last season.,"welbeck gone.
chelsea-bound,
£5m.","Like finding out your most reliable group chat member quietly started a new group. You knew it might happen, but it still stings.",Brighton have sold their top scorer Danny Welbeck to Chelsea for £5m. He scored 13 goals last season. His goals will be hard to replace.,"[""Tell him Brighton sold Welbeck to Chelsea for £5m. He'll have strong feelings about whether that's fair value."", ""Ask him: who replaces those 13 league goals for Brighton now?"", ""He'll probably point out that Welbeck scored three against Chelsea last season. The irony is not lost.""]",bad_news,f,,f,"{brighton,chelsea}",294,"Brighton have sold Danny Welbeck to Chelsea for a reported £5m. He scored 13 league goals for them last season, including three against Chelsea of all clubs. It's decent business for Brighton to sell a 35-year-old, but losing a double-digit scorer will sting. Brighton fans won't love this one."
559ebfbc-000a-4099-861c-537a77810b43,chelsea,t,news,routine,,archived,t,2026-08-01 22:50:44.24706+00,2026-08-02 00:50:44.24706,2026-08-01 22:50:43+00,2026-08-01 22:50:47.563+00,2026-08-02 00:50:47.563,0.05526566666666666667,00,,,,"Chelsea have signed Danny Welbeck from Brighton for a reported £5m. He scored 13 league goals last season, including three against Chelsea. Confirmed today.",New signing sorted.,Chelsea signed striker Welbeck from Brighton. He scored 13 league goals last season.,"welbeck joins.
chelsea's deal
of the summer.","Like hiring the temp who's worked at every company in the industry. She's 35, she knows everyone, and she was definitely available. Chelsea signed Welbeck for £5m.","Chelsea have confirmed the signing of Danny Welbeck from Brighton for a reported £5m. The striker scored 13 Premier League goals last season. Experienced, affordable, and available.","[""Tell him Chelsea signed Welbeck from Brighton. He'll probably say it's either a genius move or a strange one."", ""Ask him: does a 35-year-old striker make sense for where Chelsea want to go this season?"", ""Did you know Welbeck scored three goals against Chelsea last season? He helped beat them, and they've now signed him.""]",exciting,f,,f,"{chelsea,brighton}",318,"Chelsea have confirmed the signing of Danny Welbeck from Brighton for a reported £5m. He scored 13 league goals last season, including three against Chelsea. At 35, it's a smart, cheap piece of experience. Manager Xabi Alonso (Chelsea boss) has been assembling his squad all summer, and Welbeck is the latest addition."
41d5d4e3-2045-443c-bc3f-73fd18a63151,chelsea,t,news,routine,,archived,t,2026-08-01 22:53:59.016298+00,2026-08-02 00:53:59.016298,2026-08-01 22:53:57+00,2026-08-01 22:54:02.38+00,2026-08-02 00:54:02.38,0.05606170000000000000,00,,,,Chelsea lost 1-2 to Spurs in their Sydney pre-season friendly. Richarlison scored the winner for 10-man Spurs.,Give him a minute.,Chelsea lost 1-2 to Spurs in pre-season. Richarlison scored the winner for 10-man Spurs.,"chelsea 1-2 spurs.
richarlison scored.
ten men won it.",Like getting put on read by your ex-friend in the Glastonbury group chat. It's not the end of the world but it's going to sting until Sunday.,"Chelsea lost 1-2 to Tottenham in a pre-season friendly in Sydney. Richarlison scored the winner for Spurs, who finished the game with ten men.","[""Tell him Chelsea lost to Spurs in pre-season. It's just a friendly, but he'll want to talk through it."", ""He'll probably say Spurs had no right to win that with ten men. See if he agrees."", ""Ask him: is this just pre-season noise, or should Chelsea fans be worried?""]",bad_news,t,Spurs beat Chelsea 1-2 in pre-season despite finishing with 10 men. Richarlison scored the winner.,f,"{chelsea,spurs}",214,"Chelsea lost to Tottenham in their Sydney pre-season friendly, 1-2. Richarlison scored the winner, and Spurs were down to ten men for part of it. Chelsea manager Xabi Alonso will want better when the season starts."
f7e988b5-36a3-49fb-9823-612efee155a3,liverpool,t,news,routine,,archived,t,2026-08-01 22:55:03.663895+00,2026-08-02 00:55:03.663895,2026-08-01 22:55:02+00,2026-08-01 22:55:06.873+00,2026-08-02 00:55:06.873,0.05348508333333333333,00,,,,Arne Slot is pushing hard to sign defenders before the season starts. Liverpool's backline still has gaps.,He's probably stressed.,Slot is pushing to sign defenders before the season. Liverpool's backline still has gaps.,"slot wants defenders.
season starts soon.
gaps in the back.","Like realising the night before a house party that you've got no mixer, no snacks and one of your friends just cancelled. The panic is real but it's probably fixable.",Liverpool boss Arne Slot is pushing to sign defenders before the Premier League season starts. The Guardian reports he's in a rush to address gaps in the backline.,"[""Tell him Liverpool are in a rush to sign defenders before the season. He'll have opinions on what they need."", ""Ask him which position he thinks is the biggest gap, centre-back or full-back? He'll have a view."", ""Tell him Slot's come out publicly saying it's urgent. See if he thinks the club will get the business done in time.""]",drama,f,,f,{liverpool},279,"Liverpool manager Arne Slot wants to move fast to sign defenders before the Premier League kicks off. The Guardian reports he's in a rush to plug gaps at the back before the season starts. Liverpool have been busy in midfield but the backline still needs work, and Slot knows it."
